Date,Value
2017-05-31,0.806
2017-04-30,0.806
2017-03-31,0.804
2017-02-28,0.804
2017-01-31,0.808
2016-12-31,0.812
2016-11-30,0.818
2016-10-31,0.824
2016-09-30,0.826
2016-08-31,0.828
2016-07-31,0.826
2016-06-30,0.826
2016-05-31,0.822
2016-04-30,0.818
2016-03-31,0.814
2016-02-29,0.812
2016-01-31,0.814
2015-12-31,0.814
2015-11-30,0.818
2015-10-31,0.82
2015-09-30,0.824
2015-08-31,0.824
2015-07-31,0.822
2015-06-30,0.818
2015-05-31,0.812
2015-04-30,0.81
2015-03-31,0.808
2015-02-28,0.806
2015-01-31,0.804
2014-12-31,0.802
2014-11-30,0.802
2014-10-31,0.8
2014-09-30,0.798
2014-08-31,0.796
2014-07-31,0.792
2014-06-30,0.788
2014-05-31,0.784
2014-04-30,0.778
2014-03-31,0.772
2014-02-28,0.768
2014-01-31,0.76
2013-12-31,0.754
2013-11-30,0.746
2013-10-31,0.738
2013-09-30,0.736
2013-08-31,0.738
2013-07-31,0.74
2013-06-30,0.738
2013-05-31,0.738
2013-04-30,0.734
2013-03-31,0.734
2013-02-28,0.732
2013-01-31,0.728
2012-12-31,0.724
2012-11-30,0.718
2012-10-31,0.714
2012-09-30,0.706
2012-08-31,0.7
2012-07-31,0.696
2012-06-30,0.696
2012-05-31,0.7
2012-04-30,0.706
2012-03-31,0.708
2012-02-29,0.71
2012-01-31,0.71
2011-12-31,0.71
2011-11-30,0.706
2011-10-31,0.7
2011-09-30,0.694
2011-08-31,0.688
2011-07-31,0.686
2011-06-30,0.684
2011-05-31,0.68
2011-04-30,0.68
2011-03-31,0.678
2011-02-28,0.678
2011-01-31,0.672
2010-12-31,0.668
2010-11-30,0.662
